;Z1.2002;Z2.2002;Z3.2002;Z4.2002;Z5.2002;J2.2002;J3.2002;J4.2002;J5.2002;JR.2002;Z1.2018;Z2.2018;Z3.2018;Z4.2018;Z5.2018;J2.2018;J3.2018;J4.2018;J5.2018;JR.2018
Juglans regia;0;0;0;0;0;0,625;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0
Knautia arvensis;0,1;0;0;0;0,05;0;0;0,05;0;0;0,06;0;0;0;0;0;0;0;0;0
Lactuca serriola;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0,06;0;0
Lamium album;1,25;5;0,625;0,625;1,925;0;0,05;3,8;0;0;0;0,02;0;5,04;0;0;0;0,04;0;0
Lamium maculatum;0;0;0;0;0;0;0,625;0;0;0;0;0;0;0;0;0;0,02;0;0;0
Lamium purpureum;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0,06;0;0;0;0;0;0
Lathyrus pratensis;2,5;0;0,625;0,05;0;0;0;0;0;0;0;0;3,5;1,5;0,04;0;0;0;0;0
Leucanthemum vulgare agg.;0;0;0;0,675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lolium multiflorum;0;0;3,75;0;0;0;0;0,625;0;0;0;0;0;0;0;0;0;0;0;0
Lolium perenne;0;7,5;8,75;0,625;0;0;0;0,05;0;0;0;2,5;1;0,12;0,04;0;0;0,12;0;0
Lotus corniculatus ;0,625;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0
Malva moschata;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0
Matricaria chamomilla;0;1,35;0;0,05;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;0,02;0
Medicago lupulina;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0
Melilotus albus;1,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Myosotis arvensis;0;0;0;0,125;0;0,05;0;0;0;0,675;0;0;0;0;0;0;0;0;0;0
Myosotis laxa;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0
Ononis repens;3,75;0;0;0;0;0;0;0;0;0;2,02;0;0;0;0;0;0;0;0;0
Origanum vulgare;1,925;0;0;0;0;0;0;0;0;0;3,58;0;0;0;0;0;0;0;0;0
Papaver rhoeas;0;0;0,075;0;0;0;0;0;0,1;0;0;0;0;0,02;0;0;0;0;0;0
Parietaria judaica;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0
Phalaris arundinacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0
Phleum pratense;0;0;0;0;0;0;0;0;0;0;0;0;5,04;0,04;0;0;0;0;0;0
Pimpinella saxifraga;2,575;0;0;0;0,025;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0
Plantago lanceolata;0;0;0;1,25;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0
Plantago major;0;2,5;0,625;1,35;0;0;0;0;0;0;0;0,08;0,06;0,16;0;0,08;0;0;0;0
Poa annua;0;7,5;0,05;1,35;0;0;0;0;0;0;0;0,62;0;1,54;0;0,5;0;0;0;0
Poa nemoralis;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0
Poa pratensis;5;0,1;7,5;3,75;1,875;0,625;0,15;0,1;1,35;8,175;0;0;5;0;0,54;0;0;0;0;0
Poa trivialis;0;1,3;20;7,5;2,55;0;1,35;0;0;0;0,5;0,02;0;0;0;0;0;0;0;3,62
Polygonum aviculare;0;0;0,775;0,025;0;0;0;0;0;0;0;0;0;0,06;0;0;0;0;0,02;0
Potentilla anserina;0;0,625;0;1,3;0;0;0;0;0;0;0,08;0,02;0,02;0,04;0;0;0;0;0;0
Prunella vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0
Ranunculus acris;0;1,875;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus bulbosus;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
